c1,c2,c3,c4,c5,c6,c7,c8,c9
CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
