c1,c2,c3,c4,c5,c6,c7,c8,c9
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
